,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1311828665504727,0.0837940738897809,0.1632685447871913
1,age,1,0.1552045247138061,0.0827698666198674,0.144902082986243
2,age,2,0.1338670348370714,0.0788165619935646,0.1502133242718131
3,age,3,0.1486729598080427,0.0955878060392942,0.154338655510489
4,age,4,0.1544699471361464,0.1034622922957541,0.1543184894407257
5,age,5,0.1299440891054244,0.0840488151029535,0.1498114463320218
6,age,6,0.1463086162337676,0.1168320377312033,0.1470355032350174
7,age,7,0.1474293606995837,0.1091657474313187,0.1608207324270949
8,age,8,0.1436785148334324,0.1104591829425133,0.139533667217157
9,age,9,0.127445533836172,0.0765096832577507,0.1339534870701158
10,education,0,0.2515825212918402,0.0541718463745452,0.2649337756323486
11,education,1,0.2318197303567048,0.0679849163450422,0.2009876079290888
12,education,2,0.2376443934631631,0.0562546457090301,0.2040848345941203
13,education,3,0.2407272924753602,0.071409668847789,0.2577495749676405
14,education,4,0.2351932221499857,0.0699659240092011,0.2216483510010782
15,education,5,0.2392598129966254,0.057967271397095,0.2266990818776751
16,education,6,0.2467946647606259,0.0661427166466181,0.2422986542426339
17,education,7,0.2395254785777939,0.0821536756485129,0.2268381672832805
18,education,8,0.2482243800167008,0.0670811052602111,0.2586565194616154
19,education,9,0.2358174421912544,0.0632341163335587,0.2180240042306344
20,hours.per.week,0,0.1919356448986423,0.1234871200687015,0.239589096701783
21,hours.per.week,1,0.1918511617571786,0.1495741051236931,0.2334239209797597
22,hours.per.week,2,0.1845285611773433,0.128978929098838,0.2422344024910016
23,hours.per.week,3,0.2056438691104837,0.1580250739463748,0.2256150879616538
24,hours.per.week,4,0.1990553714314406,0.1376876292495626,0.2372020691351442
25,hours.per.week,5,0.2047641909919366,0.1414459076761444,0.2350522629223881
26,hours.per.week,6,0.2034674975424917,0.1685834703937373,0.2251286249095414
27,hours.per.week,7,0.1735633524071191,0.1230918566151409,0.2227156409776262
28,hours.per.week,8,0.2104604602198614,0.1407962103190965,0.2373841542787156
29,hours.per.week,9,0.2271938681190935,0.1384283049911535,0.2353969387617674
30,marital.status,0,0.2277232100747593,0.1692022679086247,0.15573899165755
31,marital.status,1,0.2252208404651914,0.1074329428468795,0.1953752027203767
32,marital.status,2,0.242268854459789,0.1449530847554321,0.2018503159312572
33,marital.status,3,0.3097705200212428,0.1164967286084817,0.1668096602049616
34,marital.status,4,0.2304027717307548,0.1765648318152311,0.2328138301507435
35,marital.status,5,0.1850879524146585,0.1094768712226355,0.1521648909370244
36,marital.status,6,0.2362416378255912,0.1417109066645477,0.2309816017151513
37,marital.status,7,0.2291606685379265,0.1318980724249351,0.1594047654574734
38,marital.status,8,0.2402666183514093,0.2157050554346959,0.2574915649289528
39,marital.status,9,0.2046710874684088,0.1205029905172052,0.1612895675313137
40,native.country,0,0.2300965490848491,0.1439725266717144,0.2303496835199174
41,native.country,1,0.2179909197724905,0.1584100955091409,0.2782974339435758
42,native.country,2,0.2023392245975952,0.1317971146512513,0.2484882546433338
43,native.country,3,0.1828924718939366,0.1457706936835346,0.234246917143778
44,native.country,4,0.2350575519455262,0.1383771226079242,0.2458121596554262
45,native.country,5,0.214512603427648,0.1352429095920227,0.2765493103564519
46,native.country,6,0.1694695822181881,0.1129478840153331,0.2224437439245266
47,native.country,7,0.1550489160344648,0.1201406211058832,0.2364965672753876
48,native.country,8,0.2139809418726541,0.172551061174308,0.2289201543837975
49,native.country,9,0.2150024461603589,0.1550600153486435,0.2776049143157046
50,occupation,0,0.1668545811085007,0.0653370972202581,0.1921899373363787
51,occupation,1,0.2074068673629621,0.0666606962234098,0.1664827567984206
52,occupation,2,0.1788823516049302,0.0495375255620197,0.1934140902193166
53,occupation,3,0.1597724813181165,0.0690545367298521,0.1855653711546821
54,occupation,4,0.1633814006372899,0.0715434976354187,0.182172705415186
55,occupation,5,0.1582045283224888,0.065616452091858,0.1580827243393917
56,occupation,6,0.1644535816564087,0.0640832883683891,0.1523920422388273
57,occupation,7,0.1600572039060452,0.0680626162631794,0.1775372275320077
58,occupation,8,0.1646782553428952,0.0548079054614573,0.1636012592217055
59,occupation,9,0.1695548272755274,0.0669962416136884,0.147099718906338
60,race,0,0.0920158659488837,0.0686357930583098,0.0703351129163079
61,race,1,0.1231478916063675,0.0454826431008947,0.1327611676073223
62,race,2,0.1067764250091356,0.051517349982178,0.0696433718186962
63,race,3,0.0971755923517846,0.0465219972505024,0.0485725862883702
64,race,4,0.1252600853346049,0.0390695907355157,0.1276646978168926
65,race,5,0.138734093668741,0.0595760788005662,0.130380563421475
66,race,6,0.1244125430418155,0.0484688890578767,0.0906731059608626
67,race,7,0.0925726818492592,0.0869887306684804,0.0594185913550884
68,race,8,0.1102553061347392,0.0719676076853429,0.1157115989580385
69,race,9,0.0978127606782369,0.0585958876526087,0.09143808878417
70,relationship,0,0.2226518904818949,0.1135625565906366,0.128960835500436
71,relationship,1,0.2404161182635361,0.1291831140168857,0.1290338925456111
72,relationship,2,0.2522464560926721,0.1199842112753383,0.1770326397613493
73,relationship,3,0.2437082594490816,0.1158445016198383,0.1996527190108626
74,relationship,4,0.2549130221969932,0.1377377361687665,0.1971171638283739
75,relationship,5,0.2266490751967971,0.1011391229577459,0.1541423177193983
76,relationship,6,0.2432349774759486,0.1267682745960625,0.211546876727528
77,relationship,7,0.2370859513343236,0.1340184679704426,0.1589159650532594
78,relationship,8,0.2601437373680537,0.1113573122208599,0.2024300115160121
79,relationship,9,0.2367404191734074,0.1420288979780489,0.1601092113207962
80,sex,0,0.1273959201420341,0.0439764168341291,0.0858319634543292
81,sex,1,0.0946379285815905,0.0723820363256982,0.0149058155955865
82,sex,2,0.1245694753122522,0.0566695817017491,0.0448261160745121
83,sex,3,0.1444372408733189,0.0734315121116128,0.0539252849234963
84,sex,4,0.1300255864468299,0.0745723735890031,0.0479478376457176
85,sex,5,0.1241149643775464,0.0626855719853531,0.0556022927979564
86,sex,6,0.1290483671866232,0.0619795758051846,0.0428630548436262
87,sex,7,0.1392220604623154,0.0911046150793559,0.0432203702453576
88,sex,8,0.1209751421256513,0.0628256446063689,0.0373232897315767
89,sex,9,0.1307885772201315,0.058189359885134,0.0616713221549285
90,workclass,0,0.1573002891373809,0.0525558170756879,0.1357570079512105
91,workclass,1,0.1407968611140734,0.0472081530849655,0.1190113938260018
92,workclass,2,0.161528209833499,0.0578294451324328,0.1279814743165542
93,workclass,3,0.1384568684350654,0.0292314629820146,0.0962650202323492
94,workclass,4,0.160443422193113,0.0598488526795813,0.1348107248975297
95,workclass,5,0.1671840332068839,0.0545304465036184,0.1318981160575079
96,workclass,6,0.1431025977275308,0.061571955073429,0.1135294808651302
97,workclass,7,0.1626709972323395,0.0848852130217714,0.1419016738345335
98,workclass,8,0.1294111551838387,0.0441867037579841,0.0849233672991327
99,workclass,9,0.1583063258653554,0.065643117486831,0.1353829652816442
