,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1971836624197238,0.1791255017371652,0.0926453228697958
1,age,1,0.2342413502466612,0.1068588145770709,0.0730380973275996
2,age,2,0.2319079350550342,0.1258555026243325,0.1007056701737916
3,age,3,0.2311830138817869,0.1030967140848338,0.1085255160916001
4,age,4,0.2477192899405388,0.1490541769546522,0.1019133014357516
5,age,5,0.237655683132932,0.0919426609895801,0.095506998840381
6,age,6,0.2300181325340134,0.110063712465282,0.1275998768901406
7,age,7,0.2025786263365963,0.1249925618011648,0.1099239687682845
8,age,8,0.2349902241004693,0.1105010442302415,0.0672816407921022
9,age,9,0.2676485116103753,0.1273068466973047,0.0908070346050483
10,contact,0,0.1695603655607822,0.0470030198244686,0.0262421028634099
11,contact,1,0.2350384050987023,0.056571756263937,0.0765366041242655
12,contact,2,0.2085471823387753,0.025638792301291,0.0392139162822655
13,contact,3,0.2030718777220311,0.04147546455646,0.070724772361966
14,contact,4,0.2142471519993352,0.0619405579964381,0.0582981163961346
15,contact,5,0.2651194569398064,0.0360769014877475,0.1185372870145741
16,contact,6,0.2188660428156293,0.0471407522957691,0.0820822592481907
17,contact,7,0.2092266590762665,0.0389318797273375,0.0593896796603336
18,contact,8,0.214248641827949,0.0239366897576575,0.0673456023976118
19,contact,9,0.2092308274321778,0.0421062687795149,0.0814709438795158
20,default,0,0.2228651611000195,0.0514648313461189,0.029456591545403
21,default,1,0.1686107910773095,0.2632520060138622,0.1454474005298148
22,default,2,0.184545842087851,0.0533575694887045,0.1496736598820854
23,default,3,0.0917752326215848,0.075588236688351,0.0206401440510678
24,default,4,0.1748316047539542,0.0638019958370297,0.1674999983677036
25,default,5,0.1985199909197059,0.0364240205550092,0.1556634449258925
26,default,6,0.1037009559164162,0.050559612525076,0.0437904808574157
27,default,7,0.1863513910665225,0.0757186581406846,0.1541205054541045
28,default,8,0.1713038963243561,0.060170442534747,0.167352439870422
29,default,9,0.0770738838772627,0.0785666788124982,0.0217332044238291
30,education,0,0.0807363848936918,0.0251193341659761,0.0495992676540085
31,education,1,0.0736063292956615,0.0108763212532804,0.0265482713016944
32,education,2,0.0593736224802592,0.0142738493678154,0.0317045494658594
33,education,3,0.1134192491133735,0.0501797349610775,0.0546769425034175
34,education,4,0.0600966093360558,0.0351203929631245,0.0391594302972488
35,education,5,0.0872416786869522,0.0291123464931675,0.0397630394827569
36,education,6,0.0678775518291736,0.0260159973677705,0.0179439333606815
37,education,7,0.1300560701444862,0.0273889371439853,0.0271775337675503
38,education,8,0.105646429316184,0.0191374038549156,0.0332607589298787
39,education,9,0.0895204553610672,0.0365670773871284,0.0123795656052313
40,housing,0,0.2498427370177803,0.0157840682970665,0.1008172923983822
41,housing,1,0.2436104955519157,0.0270835340591578,0.0663961271793615
42,housing,2,0.214705362735493,0.0076064436342611,0.0898693372174748
43,housing,3,0.2116702924824752,0.0237853517041334,0.0813062797373284
44,housing,4,0.2677892974434928,0.0404597849185395,0.1149967257861762
45,housing,5,0.2370155038759689,0.0262403100775193,0.082853683069736
46,housing,6,0.2657548767403079,0.0572087852424473,0.107231032014555
47,housing,7,0.171034322820037,0.0375309214594928,0.0652455265389206
48,housing,8,0.231560759232515,0.0175366205900557,0.0826923772226281
49,housing,9,0.2554137988920598,0.0552549682984465,0.1109513905880433
50,job,0,0.1041905935505049,0.0425022485697545,0.0592758820831008
51,job,1,0.1090875802343788,0.0463771504122278,0.074903416315486
52,job,2,0.0935666586011608,0.0463813381559316,0.0445497961512885
53,job,3,0.1307693083872537,0.0371482410935747,0.0865900102305541
54,job,4,0.1156072875198618,0.0642723343683163,0.0769413719470844
55,job,5,0.1165717706926039,0.0403598414774602,0.0550573988831281
56,job,6,0.1326765893617723,0.041555425664445,0.0883134775213938
57,job,7,0.131667637526839,0.0512887805403656,0.0650675320265304
58,job,8,0.1265018973089099,0.0285453068748763,0.0719479005154341
59,job,9,0.1077615258128764,0.0543690567968483,0.05359815035591
60,loan,0,0.151539240900943,0.0414698776400904,0.0349722875703902
61,loan,1,0.2048218721730015,0.016003503683175,0.0746062250798915
62,loan,2,0.1689814814814815,0.0563271604938272,0.0228452494873065
63,loan,3,0.161407867494824,0.0151552795031055,0.0441427934494461
64,loan,4,0.1577493528035924,0.0111255318115253,0.0855480839636489
65,loan,5,0.212502977359195,0.0086262947489039,0.0336142219471362
66,loan,6,0.2381172279579114,0.0610383613154336,0.0638120832585442
67,loan,7,0.2351502445842068,0.0499650593990217,0.1148889906428182
68,loan,8,0.1726176888581253,0.0076286974514553,0.065386181676077
69,loan,9,0.1359768505060649,0.0027219153827858,0.0764847666260034
70,marital,0,0.0960349151991349,0.0254192454420624,0.0342296877186711
71,marital,1,0.0694462398536153,0.0036313399853313,0.008709668394505
72,marital,2,0.0832689196147217,0.0292973623906723,0.0725302073929015
73,marital,3,0.0915186786109139,0.0190296052758165,0.042600754164001
74,marital,4,0.0499787387769096,0.0056141739462251,0.0168225292127055
75,marital,5,0.0358228491361365,0.0233845481155055,0.0185993580018072
76,marital,6,0.0816024641582508,0.0255629930531804,0.0209345395186148
77,marital,7,0.0924548585662651,0.0085295049462706,0.052087097931657
78,marital,8,0.1213662960147076,0.0137961169516665,0.0635924889310677
79,marital,9,0.0835355750239472,0.0440849169087248,0.0150959696410088
80,month,0,0.18815599579436,0.0410520279245184,0.1314115714203924
81,month,1,0.2029872995856713,0.0597217671912886,0.0948296745300003
82,month,2,0.2268768456564563,0.0445411566105804,0.1076978980095665
83,month,3,0.2016335374536175,0.055934226495165,0.0918255951269663
84,month,4,0.2027396323150508,0.0364357379575781,0.1392417477668474
85,month,5,0.2237874589768987,0.064915868670347,0.1361381221663458
86,month,6,0.2249899496466754,0.038790415597363,0.1645621427363604
87,month,7,0.2321768990721514,0.0680684795510232,0.1590499239341327
88,month,8,0.2424847937286245,0.0472481606617508,0.165086195787357
89,month,9,0.2114750569377602,0.0574906437678878,0.1362146469813655
90,poutcome,0,0.2178745309459574,0.0554172611357407,0.1308663455686888
