,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1986741519637508,0.1535293702792244,0.0821059498249179
1,age,1,0.2180976065513439,0.1004416826200287,0.0756512433575859
2,age,2,0.2432804051375514,0.1425304036855803,0.1031382549323784
3,age,3,0.2386368032404878,0.1002635157023435,0.0951381450622755
4,age,4,0.2409473876909854,0.1786191922364144,0.1032694045963159
5,age,5,0.2084077758770639,0.1037969831555637,0.0691774270950805
6,age,6,0.2383272243227316,0.131117685243942,0.1392742149425393
7,age,7,0.2296385308802131,0.1113251131851437,0.110892057428603
8,age,8,0.2566037847450607,0.1187274573604934,0.0777413276222268
9,age,9,0.2598679942435576,0.1397234860608136,0.0875832405827799
10,contact,0,0.2017894085814407,0.0438538685291688,0.0729581399150539
11,contact,1,0.2450730014478186,0.0496522674696708,0.0902904040295994
12,contact,2,0.220011143721365,0.043235799234422,0.075295244875827
13,contact,3,0.2192103552953888,0.0479010792278873,0.0903353917242899
14,contact,4,0.2222076035161855,0.0599916862343193,0.0791198149141068
15,contact,5,0.2590633249027066,0.0465087371513834,0.1135443158255615
16,contact,6,0.2239524789626501,0.0630916593115929,0.0899787569919973
17,contact,7,0.2405483515375505,0.0360604360588087,0.1095429016035488
18,contact,8,0.229889657633296,0.0203179720495116,0.1162560792024853
19,contact,9,0.2377755434326503,0.0468172282522333,0.1155825557068104
20,default,0,0.0814618117243032,0.0617877321326855,0.0394738985240575
21,default,1,0.0883415931092902,0.07393846988261,0.0602008900819457
22,default,2,0.1028420208863478,0.0257572650525423,0.0474359588641466
23,default,3,0.1493735084751483,0.0509502176699098,0.0771933202245858
24,default,4,0.0917788630192215,0.0754144535755228,0.0538453737905053
25,default,5,0.0738089079810607,0.0368304029001974,0.044236967194609
26,default,6,0.0538425920739832,0.0470195103928093,0.0443375667375118
27,default,7,0.0943198420069206,0.0640410431799419,0.0596025543958942
28,default,8,0.1124869439340199,0.0240621321797915,0.060408094083496
29,default,9,0.0824325597916217,0.0400157199155357,0.0241540484982526
30,education,0,0.0714427386668435,0.0441870837902892,0.0467330007053743
31,education,1,0.0510338084050116,0.0167898500763598,0.0238291925186811
32,education,2,0.0759168373131911,0.0248334067860831,0.0490441927730725
33,education,3,0.1303770806815031,0.0249335827235566,0.0741909937343874
34,education,4,0.0781220589618124,0.0192542249837252,0.0558121280664389
