,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.2010602278130673,0.1537724524323094,0.0795207212325654
1,age,1,0.2247419263811091,0.1040187831034205,0.0727120048175208
2,age,2,0.2389272599897092,0.1277774923263589,0.1152413855911559
3,age,3,0.2336640435868028,0.1117165338788501,0.0920633403754902
4,age,4,0.2353852194060443,0.1838267730953826,0.0938700257359106
5,age,5,0.2169569252147347,0.1070686086355092,0.0746713747179784
6,age,6,0.2338641394873158,0.1212751643885818,0.136596607592947
7,age,7,0.2148696013856738,0.1292618571173168,0.1214561956246494
8,age,8,0.2440135058963234,0.1154825688630059,0.0703605459112928
9,age,9,0.2715770560869943,0.1391787646734908,0.093322755400139
10,contact,0,0.2092609409995669,0.0485351674679494,0.0801033090372177
11,contact,1,0.2360200846064019,0.0596608601538606,0.0933203771344815
12,contact,2,0.2114932957721729,0.0395289874367115,0.0592988333074286
13,contact,3,0.2118435444132043,0.0552043039216342,0.0877758682882316
14,contact,4,0.2167190454036353,0.0601230337905581,0.0578154136328203
15,contact,5,0.2542211190870091,0.0513684200580552,0.1099785092054798
16,contact,6,0.2365284756298299,0.0483892938856585,0.1143844985976566
17,contact,7,0.2246629997110832,0.0502818522552214,0.0861199041648429
18,contact,8,0.2488798973069994,0.02120428921967,0.1158628910562987
19,contact,9,0.2383196023329942,0.0318783397169242,0.1219870413119973
20,default,0,0.1919047619047618,0.0231501831501831,0.0320267158529741
21,default,1,0.1013550135501354,0.1607949412827461,0.0102481773759439
22,default,2,0.2339204174820613,0.000521852576647,0.1368975280118591
23,default,3,0.2618181818181818,0.1518181818181818,0.0105522056490003
24,default,4,0.180327868852459,0.1056466302367941,0.0937439380393515
25,default,5,0.1674999999999999,0.0231818181818181,0.0680787471119445
26,default,6,0.269090909090909,0.0954545454545454,0.2361366731727038
27,default,7,0.1689373297002724,0.1489554950045413,0.0288987415706472
28,default,8,0.2327571879674256,0.0773641349509722,0.1749698879058422
29,default,9,0.1689250225835591,0.1553748870822041,0.0295250763622031
30,education,0,0.0554762270136163,0.0325569831892095,0.0302331423282578
31,education,1,0.0702072422975267,0.0246315912309856,0.0498761878429133
32,education,2,0.080939407255094,0.0302594973575767,0.0540043193736932
33,education,3,0.1193974890741711,0.0334977711865135,0.0617016480686255
34,education,4,0.08562896944288,0.023728004063357,0.063017688733955
35,education,5,0.1010382627999575,0.0418428329155831,0.0409033399799831
36,education,6,0.0951133617307542,0.0318066907112407,0.0498491534686827
37,education,7,0.147964477619513,0.039055007275336,0.0528035839019194
38,education,8,0.1072531298333357,0.0358798443693164,0.0355317936926007
39,education,9,0.0679828317276706,0.0200228585520664,0.0301030645419653
40,housing,0,0.2943577893317927,0.002227357340009,0.1564599329828209
41,housing,1,0.282467803577737,0.018852169444712,0.1151070330922393
42,housing,2,0.2326293304209563,0.0035719448147375,0.1147768193966809
43,housing,3,0.2724002900652646,0.0159632583998066,0.1479441102067031
44,housing,4,0.2648206581235109,0.0450383154098783,0.114958135346037
45,housing,5,0.2503100775193799,0.0262790697674418,0.1028437518931981
46,housing,6,0.2626717685535892,0.0834572178341972,0.1134120929086292
47,housing,7,0.2120825602968459,0.0165043290043289,0.1129304483884956
48,housing,8,0.2715081493707448,0.0131266762946151,0.127398602103885
49,housing,9,0.2862889167236993,0.0462416549373071,0.1490996952643637
50,job,0,0.1249284615394761,0.0288704833143075,0.064459847821727
51,job,1,0.0979917403736899,0.03881176936517,0.0697589805904094
52,job,2,0.1153440471482895,0.0561997858256935,0.0738782591343735
53,job,3,0.1363724424686703,0.0268956141716068,0.0808958425224551
54,job,4,0.1085824203517475,0.0696868902943175,0.0685018729157053
55,job,5,0.1112533373789625,0.0515485280364923,0.046906973202485
56,job,6,0.1393694787380546,0.0525228851642014,0.0970950751688543
57,job,7,0.143412357342881,0.0444939127007183,0.0756419174953032
58,job,8,0.1250503698943517,0.0454217631264169,0.0665460750194642
59,job,9,0.1157644997487479,0.0501290258180023,0.0699085321908851
60,loan,0,0.1740160548671186,0.023871872808043,0.0708978389678303
61,loan,1,0.2050157234962163,0.0063181172010741,0.0825884017763106
62,loan,2,0.2487139917695472,0.0290637860082304,0.1270326020835185
63,loan,3,0.2095652173913044,0.0111387163561076,0.1012471506057506
64,loan,4,0.1789385284870526,0.0095639319003629,0.1086551107336169
65,loan,5,0.2503621112534521,0.0078988534753023,0.0925879899163781
66,loan,6,0.256374311442425,0.0094006662928389,0.1221792744460621
67,loan,7,0.2166317260656883,0.0419287211740041,0.1007755231753095
68,loan,8,0.1859237277527006,0.0168405705323151,0.0784302799555981
69,loan,9,0.1411299912793002,0.0047831716920799,0.0852417748043547
70,marital,0,0.1081801670035641,0.0132731723391802,0.0493025297529391
71,marital,1,0.0961266928293306,0.0155928154971009,0.0377688446145517
72,marital,2,0.0886717227294557,0.017888785642526,0.0418393842576406
73,marital,3,0.0881765064573461,0.0269369106543911,0.0376810809566592
74,marital,4,0.0765288700380803,0.0306878280972469,0.0422505882127401
75,marital,5,0.0337456485835382,0.0220268417213657,0.0171576969331513
76,marital,6,0.1258183646398032,0.0255504403299302,0.0696313277761796
77,marital,7,0.0986575786913062,0.0152513680527842,0.0589322559580659
78,marital,8,0.1156579326210747,0.0089141847067165,0.0480450836766829
79,marital,9,0.077828370732433,0.0516385700646747,0.0154980150593654
80,month,0,0.1964449857964824,0.0985800347526876,0.1400863020663032
81,month,1,0.1799133404115736,0.1043846334274839,0.1059767311995655
82,month,2,0.2426534005799353,0.067503742480724,0.1314480807378267
83,month,3,0.2163619561812213,0.1050422080854578,0.0965201743229775
84,month,4,0.2025028614573231,0.0807768099227153,0.177934933019304
85,month,5,0.2290224479661788,0.0895877614023391,0.1174710255928977
86,month,6,0.2019071989044001,0.0928084357891482,0.1681802974420209
87,month,7,0.2452144048678446,0.1065761341292058,0.1728764714295773
88,month,8,0.20087171509625,0.1328609959033127,0.1525044451279801
89,month,9,0.198889206352867,0.10596471204941,0.1249478301387454
90,poutcome,0,0.2537916987749759,0.0681714685102513,0.1993400550771087
91,poutcome,1,0.2700600931747181,0.0365650257761834,0.1963812767427674
92,poutcome,2,0.2074644472128855,0.0675971043580042,0.1582961950276906
93,poutcome,3,0.2342554956992816,0.0449759200377838,0.1793992058532989
94,poutcome,4,0.2720725121065954,0.0653645438393753,0.1946978243400381
95,poutcome,5,0.2982577030736015,0.0688349319945323,0.1977436618411925
96,poutcome,6,0.3218210914135297,0.0472184766084255,0.2652067281974823
97,poutcome,7,0.2642402635336991,0.0509321261617726,0.1732491825090684
98,poutcome,8,0.2804002359926914,0.0209207996894847,0.1918328249060472
99,poutcome,9,0.2601304585046511,0.0470945602391262,0.1373670002337282
100,previous,0,0.3026861123387012,0.1764894348475029,0.0982132416438825
101,previous,1,0.3397780909604656,0.1302912462421069,0.1322129618412253
102,previous,2,0.3084322058967497,0.1046500869079311,0.1727471929556656
103,previous,3,0.2586003362884278,0.1356834992696576,0.1047494491579967
104,previous,4,0.3694127986429343,0.197406028846829,0.1915443900766849
105,previous,5,0.3433688145061735,0.172848191961714,0.1313066107098142
106,previous,6,0.359418070741295,0.2112063832890373,0.2307621214481596
107,previous,7,0.3910923062095587,0.1078697260016457,0.2401278064891522
108,previous,8,0.3579069231156042,0.0877410223087095,0.1943041544706626
109,previous,9,0.3735374997083432,0.1437837916103965,0.1561123586032748
