,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.203020208724779,0.1361713081309701,0.0879734767142422
1,age,1,0.236418427711584,0.0998380684301973,0.0794298159130342
2,age,2,0.237042737158725,0.1430242534630272,0.1031914689732832
3,age,3,0.2374017959043456,0.1047601021935211,0.0898981308545789
4,age,4,0.234373924786442,0.1714552454645374,0.0921986682463192
5,age,5,0.2202432736633726,0.0971470243634398,0.0798497277049762
6,age,6,0.231240264619454,0.1127250736199168,0.1268152304939614
7,age,7,0.216867341197496,0.1174110894118506,0.1176063671595426
8,age,8,0.2462646018125693,0.1138593915096068,0.0618667335389884
9,age,9,0.267414627044594,0.1421651924388254,0.0918687597533975
10,contact,0,0.2065803812128275,0.0508742617442443,0.0764048501983564
11,contact,1,0.2573866008340066,0.0453118690688609,0.1027798583434489
12,contact,2,0.2205302625799158,0.0418562883467752,0.0741275688376285
13,contact,3,0.219146769106951,0.0525002095039746,0.0893258060657765
14,contact,4,0.2344108453615505,0.0519693596354977,0.0827079252932482
15,contact,5,0.2636615520678049,0.0533192310074804,0.1069982564066423
16,contact,6,0.2264028732003059,0.0572023573399511,0.0905275752237062
17,contact,7,0.2181371201410403,0.0427258411653292,0.0781951160969089
18,contact,8,0.2577936866540622,0.0170013653257605,0.1244867017806535
19,contact,9,0.2406441665623448,0.0379045845796746,0.1193930843847924
20,default,0,0.2328205128205127,0.0549084249084249,0.0596690596145055
21,default,1,0.1130984643179765,0.1508581752484191,0.0222601844835245
22,default,2,0.1899543378995433,0.0434442270058708,0.1047356401661346
23,default,3,0.2727272727272727,0.139090909090909,0.0214151592087168
24,default,4,0.1885245901639344,0.1029143897996356,0.1020157130762864
25,default,5,0.1693181818181818,0.0013636363636363,0.0644511574622232
26,default,6,0.2056818181818182,0.0484090909090909,0.1526525632571276
27,default,7,0.2446866485013624,0.085921889191644,0.1377578585461689
28,default,8,0.278211733421971,0.1319594482300149,0.2469688276917192
29,default,9,0.1671183378500452,0.1481481481481481,0.0282786481426741
30,education,0,0.0691279008109389,0.0262641930742284,0.0372364136296034
31,education,1,0.0589045383461794,0.0275298008698839,0.0308912344157019
32,education,2,0.0806760827982084,0.0222384272014648,0.0544488133667358
33,education,3,0.1190235390581767,0.0345368142299753,0.058690867878464
34,education,4,0.0815160358963945,0.0236276602195814,0.0591984888804866
35,education,5,0.1073444186896866,0.0301282428700179,0.0370621191511361
36,education,6,0.0690377955522819,0.0434798488419356,0.0248355203520474
37,education,7,0.1463881129725991,0.0341036547831297,0.0521171393529931
38,education,8,0.1093497893266911,0.0327231607036449,0.0352248166425946
39,education,9,0.083249536204192,0.0188988472850524,0.0178669239080673
40,housing,0,0.290772835226908,0.0099910135438732,0.1475796373875357
41,housing,1,0.2832803417156438,4.817419789959754e-05,0.1111611645346234
42,housing,2,0.2450636814801728,0.0016671217255834,0.1291252706520799
43,housing,3,0.2675271936185642,0.0072806381435822,0.1377092262723972
44,housing,4,0.2658059115203812,0.0399188614849636,0.1147005945609781
45,housing,5,0.268062015503876,0.0295348837209302,0.1112020233540114
46,housing,6,0.2662784234135242,0.0571635404682188,0.1125093691273799
47,housing,7,0.187847866419295,0.007034632034632,0.0898203638227937
48,housing,8,0.2518310295027852,0.0103414483185475,0.1025579253440506
49,housing,9,0.2937526633178807,0.0364664712490799,0.1552806014636208
50,job,0,0.1211508902635017,0.0219332127565652,0.0665996695912632
51,job,1,0.1334984643902591,0.0440099752865042,0.0591689136514197
52,job,2,0.112942448393417,0.0611168119700785,0.067761908885269
53,job,3,0.1258281392152947,0.0287634269299983,0.071612129153058
54,job,4,0.1046166110884399,0.0775257352352145,0.0692096707922371
55,job,5,0.1253606168419791,0.0514252229816283,0.0702447523390364
56,job,6,0.1291691887596718,0.0419945488601246,0.0838886273230575
57,job,7,0.1403510400472934,0.0431037979323725,0.0703844413671314
58,job,8,0.1168603487749761,0.0365247625204086,0.0591488279428666
59,job,9,0.1166288720171095,0.0595729309106893,0.0735183019742716
60,loan,0,0.147899618112384,0.0398565973034058,0.0331383117847733
61,loan,1,0.2263824471216668,0.0129952183340273,0.1075846558480018
62,loan,2,0.253858024691358,0.0342078189300411,0.1322301072810237
63,loan,3,0.206583850931677,0.0274534161490683,0.088637865523856
64,loan,4,0.1572635217201197,0.0028247607281913,0.0824681032020543
65,loan,5,0.2668293216771061,0.0258209464461597,0.08838379442478
66,loan,6,0.256374311442425,0.0087079856186298,0.1222885861869527
67,loan,7,0.1971814581877475,0.0327276962497088,0.0827214868515777
68,loan,8,0.1849001862992717,0.0088068746640354,0.0832335479786138
69,loan,9,0.1464152638672339,0.049998678681853,0.0992428324824275
70,marital,0,0.09202771122776,0.0165730216200154,0.0307979355090919
71,marital,1,0.0902010967373005,0.0063020865954936,0.0296371699924358
72,marital,2,0.0897957345759193,0.0254404292013685,0.0536547015556515
73,marital,3,0.0889985470919684,0.0034690041052563,0.0387213911073739
74,marital,4,0.0642954456105493,0.030069376770778,0.0471115354713673
75,marital,5,0.0485872466557619,0.0094448935136166,0.0305518134917242
76,marital,6,0.1128527712419311,0.0217758727571549,0.0546678046687844
77,marital,7,0.0954933073980154,0.0107021572497748,0.0567831315483845
78,marital,8,0.10836758008153,0.0125984648194781,0.0392828033444787
79,marital,9,0.0810131367592579,0.0410716162887242,0.0127319456434951
80,month,0,0.1937992787170805,0.0602809583506851,0.1483620838104768
81,month,1,0.2014605942752241,0.0668088538577325,0.0993690785616812
82,month,2,0.2114878493447555,0.0378578027799647,0.1304329628020835
83,month,3,0.191339537541356,0.0526895279417906,0.0946715189713969
84,month,4,0.2154502423349538,0.0333136363405093,0.1736452282768097
85,month,5,0.2183152988860978,0.0559845830285378,0.128402943785277
86,month,6,0.2063313281741191,0.0595977326152943,0.1396947869977029
87,month,7,0.2178475269366377,0.0579892597484273,0.1663165106827716
88,month,8,0.2399764184095314,0.0431726542537642,0.1821814946982427
89,month,9,0.2028037805558503,0.0571865937816214,0.1255134431205577
90,poutcome,0,0.2721355263402988,0.0561553294401426,0.2141845744177501
91,poutcome,1,0.2664463556607339,0.0365997518945658,0.1949689559769651
92,poutcome,2,0.2172388442115678,0.0611747524083756,0.1585870448007033
93,poutcome,3,0.2308635417627762,0.0500177009436211,0.1659459086825019
94,poutcome,4,0.2579033520306703,0.061941819290182,0.160275031894969
95,poutcome,5,0.274025384842522,0.0589745451869533,0.1628379522027015
96,poutcome,6,0.3076980134838853,0.0570233969032978,0.2482121224655757
97,poutcome,7,0.2943668316279131,0.0520711179917622,0.2073880048179787
98,poutcome,8,0.2855708149455399,0.0310063619363229,0.1937718111478968
99,poutcome,9,0.2713790855660018,0.0617819542019483,0.1679788316841163
100,previous,0,0.3246700341476869,0.177855480705955,0.1198337679231659
101,previous,1,0.3583814181919879,0.1165093388284633,0.1348379066203313
102,previous,2,0.3289002100027495,0.1417641039146001,0.1781437992184026
103,previous,3,0.2543360023571747,0.1078586729705733,0.0988562198766181
104,previous,4,0.2905409769752052,0.1610583532879442,0.1308400313149315
105,previous,5,0.3285778162798364,0.1615423051230052,0.1030735466008238
