,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1990251269657596,0.1635428825146827,0.0949141972967616
1,age,1,0.2398957071887815,0.0982449211821696,0.0699580464930405
2,age,2,0.2373878630478145,0.1310017145248014,0.1078301517120752
3,age,3,0.2348309929341793,0.1320403110096838,0.1022301825894726
4,age,4,0.244865606791282,0.1650629586610592,0.0940086631037259
5,age,5,0.2446254202481346,0.0961994351737904,0.0944560955912341
6,age,6,0.2256834221019744,0.1134619365652494,0.1303141324532767
7,age,7,0.2121653222234626,0.1314123343519938,0.1166579761089489
8,age,8,0.2187691390088556,0.1143315565968736,0.0729723210833219
9,age,9,0.2613861259646303,0.1218925206384455,0.0876085432395174
10,contact,0,0.182914253436753,0.0543556310358087,0.0464919555956843
11,contact,1,0.2414141951983238,0.0511516420070885,0.0813048014931368
12,contact,2,0.1960020302408717,0.0122762011725037,0.0260281723803791
13,contact,3,0.2078166185910058,0.0469330551975611,0.0777461777463673
14,contact,4,0.2241039758689456,0.0511665796844847,0.0711809086214304
15,contact,5,0.2381694599179105,0.0329278406491637,0.0845022303434217
16,contact,6,0.2172849667558281,0.0493969898707048,0.0866452644611293
17,contact,7,0.2108868865063563,0.0249783900039855,0.0768663362969718
18,contact,8,0.1964210631338234,0.0136081914966177,0.061254228735579
19,contact,9,0.2088011588534303,0.0219547911473079,0.0821018229636475
20,default,0,0.1546520146520146,0.0585714285714286,0.0483256532821931
21,default,1,0.1004516711833785,0.1436314363143631,0.0097941545376152
22,default,2,0.2348336594911937,0.0802348336594911,0.1025370931769922
23,default,3,0.27,0.1454545454545455,0.0187109912197186
24,default,4,0.2313296903460837,0.0400728597449908,0.1608714520485573
25,default,5,0.1674999999999999,0.005,0.0665811183574724
26,default,6,0.124090909090909,0.0131818181818181,0.0502269380866064
27,default,7,0.1616712079927338,0.145322434150772,0.02186653746084
28,default,8,0.2227023433604786,0.0837626724281203,0.1652753033856395
29,default,9,0.1635049683830172,0.1318879855465221,0.0259286629224554
30,education,0,0.0700809880977273,0.0333347913217084,0.0392482728457406
31,education,1,0.0633029191699352,0.0088937212804517,0.0160914366656888
32,education,2,0.0614920383023181,0.0157912421719715,0.0337446267066083
33,education,3,0.0941023742282679,0.0566993677219216,0.0394577403338463
34,education,4,0.0696968000910369,0.0273327229404773,0.0482073042370353
35,education,5,0.0978871942109149,0.0358106787399044,0.0500803902887704
36,education,6,0.0660131147272495,0.0336547353756405,0.0179549936406793
37,education,7,0.1538296911085225,0.0217884957829083,0.0548042141672372
38,education,8,0.106641632847646,0.0165336216294863,0.0378021089016214
39,education,9,0.0875745111142985,0.0315250738865495,0.0094986798176332
40,housing,0,0.2726105655048463,0.0205083766608896,0.1288635737610957
41,housing,1,0.2592253588977743,0.0292545845778334,0.08028189220534
42,housing,2,0.2021361000915472,0.0165459422128713,0.0768264980525962
43,housing,3,0.2084989122552574,0.0134203529127386,0.0791540508303514
