,variable,fold,statistical_parity,equal_opportunity,average_odds
0,A1Cresult,0,0.0032731036324507,0.0119643508604657,0.0066721214571635
1,A1Cresult,1,0.0044007764150294,0.0162343266468079,0.0025181150207897
2,A1Cresult,2,0.0037505756163616,0.0135621285915567,0.0086984000534582
3,A1Cresult,3,0.0042715103934277,0.0153894917955278,0.009029855911346
4,A1Cresult,4,0.0040469053244536,0.0123553325271274,0.0061640158151916
5,A1Cresult,5,0.001374558565483,0.0183854075506055,0.0084448296831178
6,A1Cresult,6,0.0053674243601195,0.0080914727585615,0.0156364394714812
7,A1Cresult,7,0.0019997185048718,0.0173657145428449,0.0010262407203238
8,A1Cresult,8,0.0015148887667116,0.014259612760291,0.00080687379353
9,A1Cresult,9,0.0011100325873468,0.0105839653810134,0.0092071528008612
10,acarbose,0,0.005810814538816,0.0268927727213812,0.0063564130759057
11,acarbose,1,0.0110626448669109,0.0281896052593177,0.0061464076734214
12,acarbose,2,0.0039072058126276,0.0103664065573891,0.0053961989305605
13,acarbose,3,0.0090915053832684,0.0165943242571073,0.0222090706375466
14,acarbose,4,0.0065418286300312,0.0365887029028007,0.0063097919142908
15,acarbose,5,0.0061395309097591,0.0216963522423126,0.0076641376581995
16,acarbose,6,0.0074628161292143,0.0150247490792227,0.010986221461863
17,acarbose,7,0.0056101049206997,0.0195162634732529,0.0030557034596096
18,acarbose,8,0.0039151462555016,0.0399759905669758,0.0021633909348326
19,acarbose,9,0.007150548574947,0.0377219713399733,0.0119012513216792
20,age,0,0.0071111752873901,0.0383861264796191,0.1048415427607294
21,age,1,0.0150337777564658,0.0252080253944084,0.1066399237583802
22,age,2,0.0051913069590308,0.03066311195951,0.05426013873204
23,age,3,0.0096424161136145,0.0407804002151706,0.0672863947638401
24,age,4,0.0055074386352504,0.0341344797618777,0.054448702827275
25,age,5,0.006148697271937,0.0310865880096218,0.0572836406937553
26,age,6,0.0132976016568207,0.0232689474424881,0.0664649578711252
27,age,7,0.0061709037658826,0.0300275635829642,0.052664921468966
28,age,8,0.0043200024366584,0.02827908892888,0.0024001437775143
29,age,9,0.0077379800176966,0.0535384690758435,0.0608295352138343
30,chlorpropamide,0,0.0054249547920434,0.0946353224834237,0.4940159045725646
31,chlorpropamide,1,0.0102595051297526,0.1092335546167773,0.4943067649028801
32,chlorpropamide,2,0.0036188178528346,0.0934861278648975,0.495029816705265
33,chlorpropamide,3,0.0120554550934297,0.1054852320675105,0.4773442391356697
34,chlorpropamide,4,0.0060277275467148,0.1109101868595539,0.4941247011585851
35,chlorpropamide,6,0.0090470446320868,0.1115802171290711,0.4874286897313213
36,chlorpropamide,7,0.0066344993968636,0.1049457177322075,0.4963210702341137
37,chlorpropamide,8,0.0036188178528346,0.097708082026538,0.4980026631158455
38,diabetesMed,0,0.0064469914040115,0.0136537292697751,0.0072380780811694
39,diabetesMed,1,0.0037600097032508,0.0284413637196483,0.0022020519191093
40,diabetesMed,2,0.0043562034011895,0.0009948060651754,0.0011620713281961
41,diabetesMed,3,0.0004437406225126,0.02805272747947,0.0182440424725851
42,diabetesMed,4,0.0071942446043165,0.0262190247801757,0.0069243686761329
43,diabetesMed,5,0.0086517664023071,0.0075108741294754,0.0114531095520005
44,diabetesMed,6,0.0069496360417076,0.0340350186897501,0.0126032193669
45,diabetesMed,7,0.0010579211848718,0.0129784259644084,0.0005238456510958
46,diabetesMed,8,0.0042979942693409,0.0014381121509581,0.0023696682464455
47,diabetesMed,9,0.0004967989756722,0.0347656850192061,0.0079711459801908
48,gender,0,0.0009961605706285,0.0071996561358262,0.0057107994534291
49,gender,1,0.0015259949094784,0.0026091463866153,0.0008205161207284
50,gender,2,0.0021000459566844,0.0003344948545964,0.0068500444185474
51,gender,3,0.0036087477208865,0.0164794628786456,0.001233912709697
52,gender,4,0.0025114284511454,0.0331973097230025,0.0043235442951929
53,gender,5,0.0006808471018171,0.0409555718170033,0.0035033023418816
54,gender,6,0.0041101628357506,0.0338019442553712,0.0044571079775462
55,gender,7,0.0032593329493689,0.0087831823655688,0.0018294645731249
56,gender,8,0.0067567567567567,0.0249281382549865,0.0037641154328732
57,gender,9,0.0029919447640965,0.0278481012658228,0.0039468465829809
58,glipizide,0,0.0030597093890887,0.044976759073184,0.0049615951149141
59,glipizide,1,0.011002966291811,0.042168643329002,0.006118666416496
60,glipizide,2,0.0038795949997034,0.0364479561442844,0.1278473154315597
