,variable,fold,statistical_parity,equal_opportunity,average_odds
0,A1Cresult,0,0.0048612587107453,0.0163508977930193,0.00270121815859
1,A1Cresult,1,0.002151594872001,0.0127136939196915,0.0073638145964044
2,A1Cresult,2,0.0050031408088374,0.0110363197175111,0.0178581871478611
3,A1Cresult,3,0.0022232300020008,0.0159919629385452,0.0051869115279634
4,A1Cresult,4,0.006420127341252,0.0127040456125721,0.014279804761596
5,A1Cresult,5,0.0039105025123967,0.0192729971809358,0.0068852406619284
6,A1Cresult,6,0.0021776595527803,0.0083424356788347,0.0069534290210968
7,A1Cresult,7,0.0021691210855834,0.0232727008510222,0.0079297754919952
8,A1Cresult,8,0.0018168732828121,0.0159499859948771,0.0078415949606855
9,A1Cresult,9,0.008725534179187,0.0073609106715792,0.0097770370252252
10,acarbose,0,0.0104093065194265,0.0308849245764215,0.0056954684871138
11,acarbose,1,0.0058450664402242,0.0179298907018206,0.0106521583209729
12,acarbose,2,0.0176902060849077,0.0162695095192056,0.0542484447119102
13,acarbose,3,0.0117541203337094,0.0143132701307028,0.0236911848573008
14,acarbose,4,0.0052842230177379,0.0315603491506432,0.0145950087134813
15,acarbose,5,0.0045600031481864,0.0238669126550673,0.0112027715421926
16,acarbose,6,0.0054365068649886,0.0137808347270162,0.0213752273128292
17,acarbose,7,0.0043878463810787,0.0147109226321782,0.0032598973351798
18,acarbose,8,0.0061346912419897,0.044322570643961,0.0042529898783015
19,acarbose,9,0.0066951828653584,0.0322355172390982,0.0177034813219426
20,age,0,0.0040149019429235,0.0363094672575244,0.1009898325884414
21,age,1,0.008642450671982,0.0362867062630951,0.1024830704857598
22,age,2,0.0104766645465573,0.0274579732272713,0.0715794437853705
23,age,3,0.0103860852059839,0.0391350870917533,0.0674594111834089
24,age,4,0.0102867387526894,0.037162583203845,0.0671820201589638
25,age,5,0.0060965081690266,0.0277391859925728,0.0599835821774694
26,age,6,0.0069748307672206,0.0365242642106226,0.0620680408880576
27,age,7,0.005598519879985,0.0230177665820793,0.0547153377311422
28,age,8,0.0090619921680129,0.0348324820152322,0.0157205436053929
29,age,9,0.0084520413199106,0.0550866279682141,0.0607694865443857
30,chlorpropamide,0,0.0054249547920434,0.0958408679927667,0.4970178926441352
31,chlorpropamide,1,0.0072420036210018,0.1025950512975256,0.4878395928969336
32,chlorpropamide,2,0.0090470446320868,0.0940892641737032,0.480125858576093
33,chlorpropamide,3,0.0108499095840868,0.1042796865581675,0.478014480422533
