,variable,fold,statistical_parity,equal_opportunity,average_odds
0,A1Cresult,0,0.0059920780142407,0.0128602636267442,0.0130406388593775
1,A1Cresult,1,0.0037437436035587,0.0173033558900516,0.0027471938344564
2,A1Cresult,2,0.0026747199062341,0.0137763240697446,0.0072073820512822
3,A1Cresult,3,0.0049225444932013,0.017082441293176,0.0146232542568374
4,A1Cresult,4,0.007737464781919,0.0141338031602723,0.0121097329330824
5,A1Cresult,5,0.0024164117493132,0.0171945809948667,0.0043241654255952
6,A1Cresult,6,0.0065091167797041,0.0073340344586616,0.0175067161496434
7,A1Cresult,7,0.0025355149140656,0.0208756211643968,0.0014346817119673
8,A1Cresult,8,0.0022289976747223,0.0137099101648508,0.0066885225478044
9,A1Cresult,9,0.0056385208641043,0.0137735242819932,0.0156501084214261
10,acarbose,0,0.0060277275467148,0.0940325497287523,0.4906825712392313
11,acarbose,1,0.0120773152221659,0.1099035685217107,0.4905839139502175
12,acarbose,2,0.0054446460980036,0.0502981591910811,0.0119960079840319
13,acarbose,3,0.0078502630285343,0.1050727513049987,0.4876599943436656
14,acarbose,4,0.007250755287009,0.0894259818731117,0.0090926640926641
15,acarbose,5,0.008447309690032,0.1061947503889745,0.4925985379055439
16,acarbose,6,0.0096676901747434,0.4019470195685103,0.1726988584165732
17,acarbose,7,0.0066465369951361,0.1051361306503357,0.4963136652009603
18,acarbose,8,0.006657291861484,0.0998593779222605,0.4934533461805553
19,acarbose,9,0.0072420053794218,0.1116475829327531,0.4839643059051541
20,age,0,0.0055518053673794,0.0377996027057347,0.1200482615990847
21,age,1,0.0169569044494632,0.0280747049466626,0.1095951931648088
22,age,2,0.0083034124511537,0.028305224866832,0.0696368525516411
23,age,3,0.0092410307039475,0.0381912388033544,0.064772539762504
24,age,4,0.0098540767019622,0.0361328174120453,0.0729213362217656
25,age,5,0.0072787920679089,0.0284821817400365,0.0567215685880103
26,age,6,0.0136495178256081,0.0230704900018783,0.0701094923998282
27,age,7,0.0058649025038443,0.0300167074586532,0.0525152887057373
28,age,8,0.0056834077555448,0.0273543139497863,0.0063587551896032
29,age,9,0.0051449829978557,0.04890974987826,0.0639089729475952
30,chlorpropamide,0,0.0021332446092526,0.0321534881375591,0.1679154433467839
31,chlorpropamide,1,0.0129330224342898,0.0543643105445674,0.1704551778294014
32,chlorpropamide,2,0.0059077714943326,0.0470930165831836,0.171498268316042
33,chlorpropamide,3,0.0041512940499076,0.0357589884772673,0.1693369745777032
34,chlorpropamide,4,0.0032897382043001,0.0488519196372071,0.1678727209092172
35,chlorpropamide,5,0.0092105263157894,0.0324248120300751,0.0081755485893417
36,chlorpropamide,6,0.0103875961378469,0.0444557195945502,0.1739369368579244
37,chlorpropamide,7,0.0071183811332847,0.0383424092048015,0.1681574128173326
38,chlorpropamide,8,0.0024483230488633,0.0460257199230441,0.1667397086552077
39,chlorpropamide,9,0.0015051554537194,0.0002804882866511,0.0100905440042936
40,diabetesMed,0,0.0026591126161327,0.0188742728141009,0.0088253299909315
41,diabetesMed,1,0.0059354991883849,0.0291665268813597,0.0065315861170211
42,diabetesMed,2,0.0021885733433861,0.0017173494177766,0.0094338595503724
43,diabetesMed,3,0.0046620499152733,0.0365475870216961,0.0115635806311661
44,diabetesMed,4,0.0086330935251798,0.0262190247801757,0.0106177195816682
45,diabetesMed,5,0.0057097432728291,0.0090109361919022,0.0064622376966614
46,diabetesMed,6,0.0117647058823529,0.0359089120598072,0.0210003485535029
47,diabetesMed,7,0.0010579211848718,0.0129784259644084,0.0005238456510958
48,diabetesMed,8,0.0078796561604584,0.0007108849837123,0.007795600923563
49,diabetesMed,9,0.0040179257362356,0.0283354673495518,0.0114502059288544
50,gender,0,0.0021781936675553,0.0060176230388996,0.0006994569568272
51,gender,1,0.004442953780213,0.0110260754924635,0.0031560940672029
52,gender,2,0.0079784294448548,0.0015939406984252,0.0214714410727674
53,gender,3,0.0019833561062776,0.0176275685043632,0.0045862596195602
54,gender,4,0.002531752149594,0.0307874997641,6.90660184698988e-05
55,gender,5,0.0032092921081382,0.0407286227830643,0.0090747927732587
56,gender,6,0.0005235876223885,0.030084472136412,0.0076868639609655
57,gender,7,0.0008464666561949,0.0063703160723946,0.0004917915519153
58,gender,8,0.0051179584253514,0.0210370876713289,0.007761327607173
59,gender,9,0.0006904487917146,0.029228998849252,0.0098672161328637
60,glipizide,0,0.0064887397637247,0.0425392917155918,0.0102252967625866
61,glipizide,1,0.0181793849646134,0.0535407979672898,0.0120063628803528
62,glipizide,2,0.0029869738293783,0.0359274157019711,0.132915086506039
63,glipizide,3,0.0083960006173245,0.1154174536179417,0.0132658447600897
64,glipizide,4,0.0077770026571472,0.0480672101156683,0.0097417247001232
65,glipizide,5,0.006045973011355,0.0577377423924108,0.1275436367333297
66,glipizide,6,0.0053841062745353,0.050539981673115,0.0187789150164752
67,glipizide,7,0.0043183501131887,0.0297450455524003,0.0024126846325935
68,glipizide,8,0.0043689444280669,0.0850906967741465,0.127193680142071
69,glipizide,9,0.0049139010955105,0.0559326011526392,0.1293444328300739
70,metformin,0,0.0049953088728864,0.0529042815027785,0.2501594485752251
71,metformin,1,0.0104726314960962,0.0343835868919941,0.0089017502161013
72,metformin,2,0.006213961146375,0.0505702126322789,0.1323743600255308
73,metformin,3,0.0071926688652943,0.0438190264272904,0.1317283774254817
74,metformin,4,0.0065521447131054,0.0186576536739824,0.0094935192130308
75,metformin,5,0.0075912389397267,0.0346989539111369,0.1253436046530836
76,metformin,6,0.0072969213997598,0.0325980517180852,0.0104525849957776
77,metformin,7,0.0041150487808392,0.0270286027962925,0.0022664402611513
78,metformin,8,0.0040670572901309,0.0403180797091856,0.0118028109478396
79,metformin,9,0.0110748102852515,0.0567265039641503,0.0137299962546491
80,miglitol,0,0.0060289393938291,0.0940514545437359,0.4906819853059656
81,miglitol,1,0.0120554550934297,0.1097046413502109,0.4905967044620279
82,miglitol,7,0.0066425120772947,0.2288647342995169,0.003681392235609
83,miglitol,8,0.0066344993968636,0.0995174909529553,0.4934659769879477
84,race,0,0.0055708388927247,0.0387133908163292,0.0102192706534135
85,race,1,0.0097809059433165,0.0306181503966531,0.0085184013840561
86,race,2,0.0048801151741849,0.0421888267517561,0.0131243691565563
87,race,3,0.0088098152071478,0.0395504550589162,0.0135260610669567
88,race,4,0.0067562798480646,0.0214182956567398,0.0094326149394069
89,race,5,0.0096336493664985,0.0487821127762952,0.1054125962315917
90,race,6,0.0097032511854574,0.0193288745192245,0.0196931433374427
91,race,7,0.0062393113702076,0.0498407687501647,0.1020004104387733
92,race,8,0.0044879763014708,0.0498145050648124,0.1026607483365043
93,race,9,0.0068816233130572,0.0415390592434889,0.0173814891755704
94,rosiglitazone,0,0.0062431974266886,0.0804695334792061,0.1301688761535465
95,rosiglitazone,1,0.0125715988398797,0.084606669207183,0.1301212795112935
96,rosiglitazone,2,0.0056132729195553,0.1282788173152575,0.1314149553659535
97,rosiglitazone,3,0.0082081543407415,0.0445906604497322,0.1714346212254164
98,rosiglitazone,4,0.0074968350117067,0.0812701117677229,0.2502413128287494
99,rosiglitazone,5,0.009618405573536,0.0607688725832008,0.2478573913910081
100,rosiglitazone,6,0.0148951081773946,0.0410491025547113,0.1558604451572398
101,rosiglitazone,7,0.0068828784120607,0.0771918506454632,0.2501199102078867
102,rosiglitazone,8,0.0049888649951727,0.0714503076339916,0.1496221148693902
103,rosiglitazone,9,0.0074719606448739,0.0600768632530368,0.2505529571907108
